ProdCode,Customer,ProdName,ArticleNum,MatNum,OpSystem,DBAccName,DBAccVers,HostName,WkStNmae,AdpNum,ProcName,ProcNum,WkOrder,AVO,TPVersion,tLogIn,tLogOut,tLastAcc,tLatenz,tLatenzSumme,tCycle,tProc,FPY,CountPass,CountFail,CountPass_Retest,CountFail_Retest
6757,BSH,Control Power Module,30003853-02,30003853-02,Win8/Srv,DBAcc2000,1.0016.0012,KHUPRD226,0473/A,15985,FKT230V,10,,,1.03:798720:191,10/1/2022 6:00,10/1/2022 7:29,10/1/2022 7:27,90,120,195,86.08,96.3,52,2,1,3
6760,BSH,Control Power Module,30003856-02,30003856-02,Win8/Srv,DBAcc2000,1.0016.0012,KHUPRD226,0473/A,15985,FKT230V,10,,,1.03:798720:191,10/1/2022 7:31,10/1/2022 14:00,10/1/2022 13:36,1410,3720,83.84,72.09,99.61,255,1,0,2
6760,BSH,Control Power Module,30003856-02,30003856-02,Win8/Srv,DBAcc2000,1.0016.0012,KHUPRD226,0473/A,15985,FKT230V,10,,,1.03:798720:191,10/1/2022 14:00,10/1/2022 20:50,10/1/2022 20:48,150,1740,154.31,64.21,100,168,0,0,0
6759,BSH,Control Power Module,30003855-02,30003855-02,Win8/Srv,DBAcc2000,1.0016.0012,KHUPRD226,0473/A,15985,FKT230V,10,,,1.03:798720:191,10/1/2022 20:52,10/1/2022 21:46,10/1/2022 21:40,330,330,75.57,73.42,100,36,0,0,0
6759,BSH,Control Power Module,30003855-02,30003855-02,Win8/Srv,DBAcc2000,1.0016.0012,KHUPRD226,0473/A,15985,FKT230V,10,,,1.03:798720:191,10/3/2022 8:27,10/3/2022 14:00,10/3/2022 13:33,1560,6870,114.68,74.43,99.36,156,1,0,1
6759,BSH,Control Power Module,30003855-02,30003855-02,Win8/Srv,DBAcc2000,1.0016.0012,KHUPRD226,0473/A,15985,FKT230V,10,,,1.03:798720:191,10/3/2022 14:00,,10/3/2022 14:00,0,,,0,100,0,0,0,0
6676,BSH,LP IaB SE62-S,10000022,,Win7/Srv,DBAcc2000,1.15.34,KATPC109,,,ART,23,,,,10/3/2022 21:35,10/4/2022 10:30,10/4/2022 7:44,9934,9930,12.6,36335.52,100,21,0,0,0
6012,Telic,ELT-Main 74370.000 R,13603086-01BF,13603086-01BF,Win8/Srv,DBAcc2000,1.0016.0012,KATPC399,0467/A,16123,FKT,9,,,1.6.4:1675264:1,10/3/2022 21:45,10/3/2022 22:00,10/3/2022 21:45,0,,,0,100,0,0,0,0
6684,BSH,LP IaB BO61 St,10000030,,Win7/Srv,DBAcc2000,1.0016.0013,LINIE5W2T1,334,2265,IctFktInline,21,,,,10/3/2022 21:49,10/3/2022 22:00,10/3/2022 21:59,0,,51.09,37.85,95.83,46,2,0,0
6423,Telic,ELT 05204.007 ESIM-I,30003970-01,30003970-01,Win8/Srv,DBAcc2000,1.0016.0017,KATPC241,0536/A,17211,Endtest,5,,,1.4.3:802816:01,10/3/2022 21:50,10/3/2022 22:00,10/3/2022 21:50,0,,,0,100,0,0,0,0
